id,complaint_text,category,timestamp
385,Mess dining area cleanliness has declined over the semester.,Hostel,2025-06-20
386,Broken seats and equipment in the sports gym have not been repaired.,Sports,2025-06-19
387,Air quality in study halls is poor due to lack of ventilation.,Maintenance,2025-06-18
388,Lack of timely communication from faculty regarding syllabus changes.,Faculty,2025-06-17
389,Mess staff hygiene practices often do not meet expected standards.,Hostel,2025-06-16
390,Water leaks on sports fields affect usability during rainy seasons.,Sports,2025-06-15
391,Hot water pipes in hostels burst frequently causing inconvenience.,Maintenance,2025-06-14
392,Faculty communication channels are often unresponsive during critical times.,Faculty,2025-06-13
393,Mess food quality fluctuates making dining experience unpredictable.,Hostel,2025-06-12
394,Some sports facilities are unavailable due to poor maintenance.,Sports,2025-06-11
395,Broken lights in hallways create unsafe conditions especially at night.,Maintenance,2025-06-10
396,Faculty do not provide clear marking rubrics for assessments.,Faculty,2025-06-09
397,Unpleasant odors in hostel corridors due to sanitation issues.,Hostel,2025-06-08
398,Sports schedules are not coordinated leading to overlaps and confusion.,Sports,2025-06-07
399,Maintenance requests take weeks to get resolved leading to dissatisfaction.,Maintenance,2025-06-06
400,Faculty can be difficult to reach for course advice outside class hours.,Faculty,2025-06-05
401,Several air conditioning units across campus are malfunctioning, causing discomfort during lectures.,Maintenance,2025-06-04
402,Faculty frequently reschedule office hours without notifying students affecting accessibility.,Faculty,2025-06-03
403,The hostel mess has had multiple hygiene violations leading to student health concerns.,Hostel,2025-06-02
404,The baseball field’s dugouts are in disrepair, making them unsafe for players.,Sports,2025-06-01
405,Water pressure in several hostel blocks is inconsistent leading to frequent outages.,Maintenance,2025-05-31
406,Lecturers sometimes skip critical portions of the syllabus without explanation.,Faculty,2025-05-30
407,Owing to poor cleaning standards, the hostel common rooms are unhygienic.,Hostel,2025-05-29
408,Cracks and uneven surfaces on the running track cause frequent injuries.,Sports,2025-05-28
409,Elevator malfunctions in academic blocks create problems especially for disabled students.,Maintenance,2025-05-27
410,Faculty rarely communicate important exam updates timely, causing confusion.,Faculty,2025-05-26
411,Pest infestations have worsened in the hostel dormitories due to poor sanitation.,Hostel,2025-05-25
412,Lack of first-aid kits at sports events jeopardizes student safety.,Sports,2025-05-24
413,Several light bulbs in study lounges have been out for weeks, affecting late-hour studies.,Maintenance,2025-05-23
414,Faculty sometimes provide vague grading rubrics leading to misunderstandings.,Faculty,2025-05-22
415,Mess food portions often do not meet the caloric requirements of active students.,Hostel,2025-05-21
416,Broken safety nets on volleyball courts impact practice session quality.,Sports,2025-05-20
417,Heating in the computer lab is faulty causing discomfort to long study sessions.,Maintenance,2025-05-19
418,Lecturers seldom hold extra help sessions for difficult subjects impacting grades.,Faculty,2025-05-18
419,Dining area cleanliness fluctuates with occasional presence of pests causing concern.,Hostel,2025-05-17
420,Several sports event cancellations due to poor ground conditions unfairly affect teams.,Sports,2025-05-16
421,Frequent power outages in hostels disrupt exam preparation and sleep schedules.,Maintenance,2025-05-15
422,Faculty are often unreachable during crucial weeks before exams leading to poor prep.,Faculty,2025-05-14
423,New hostel residents face difficulty adjusting due to insufficient orientation on facilities.,Hostel,2025-05-13
424,The soccer field’s goalposts are unstable posing safety risks during games.,Sports,2025-05-12
425,Recurrent plumbing issues in hostel bathrooms cause water wastage and discomfort.,Maintenance,2025-05-11
426,Sporadic faculty availability limits student access to guidance outside lecture hours.,Faculty,2025-05-10
427,Mess food consistency varies leading to unpredictable meal quality affecting students.,Hostel,2025-05-09
428,Missing or damaged weights in weight training room hinder fitness routines.,Sports,2025-05-08
429,Study hall air conditioning systems need urgent maintenance with several failures.,Maintenance,2025-05-07
430,Faculty sometimes delay in releasing end-of-year results causing anxiety among students.,Faculty,2025-05-06
431,Inadequate sanitation staff leads to unclean hostels especially during weekends.,Hostel,2025-05-05
432,Many sports nets (badminton/tennis) have holes reducing training quality.,Sports,2025-05-04
433,Noise pollution from construction nearby disrupts classes and studies regularly.,Maintenance,2025-05-03
434,Faculty communication about course prerequisites misses vital information.,Faculty,2025-05-02
435,Hostel Wi-Fi drops frequently causing issues for students attending online lectures.,Hostel,2025-05-01
436,Some sports practices are cancelled last minute without notification impacting preparedness.,Sports,2025-04-30
437,Heating radiators in some hostel rooms are broken leading to cold conditions at night.,Maintenance,2025-04-29
438,Lack of detailed faculty feedback on subjective papers causes confusion.,Faculty,2025-04-28
439,Mess food sometimes spoiled due to storage issues causing health concerns.,Hostel,2025-04-27
440,Insufficient lighting in outdoor sports facilities reduces evening practice opportunities.,Sports,2025-04-26
441,Several hostel water taps leak continuously wasting water and increasing bills.,Maintenance,2025-04-25
442,Faculty office hours clash with other mandatory events reducing student access.,Faculty,2025-04-24
443,Mess utensils are sometimes old or cracked which may cause health hazards.,Hostel,2025-04-23
444,The sports complex locker rooms lack adequate ventilation and are often damp.,Sports,2025-04-22
445,The backup generator in hostels does not work leading to power disruptions.,Maintenance,2025-04-21
446,Faculty often revise exam formats late causing students to scramble last minute.,Faculty,2025-04-20
447,Unhygienic conditions in the mess area have worsened during hotter months.,Hostel,2025-04-19
448,Lack of certified coaches reduces effectiveness of sports training programs.,Sports,2025-04-18
449,Broken windows cause drafts in several hostel rooms, negatively impacting health.,Maintenance,2025-04-17
450,Faculty rarely communicate proper grading policies affecting student trust.,Faculty,2025-04-16
451,Many classroom projectors produce low-quality images, affecting presentations.,Maintenance,2025-04-15
452,Faculty often provide insufficient details in assignment instructions causing confusion.,Faculty,2025-04-14
453,The hostel common room Wi-Fi is extremely slow limiting group study sessions.,Hostel,2025-04-13
454,Lack of professional coaching for indoor sports is hampering skill development.,Sports,2025-04-12
455,Broken light switches in hallways cause frequent outages in student study areas.,Maintenance,2025-04-11
456,Faculty members sometimes do not post lecture notes on time affecting revision.,Faculty,2025-04-10
457,Mess food sometimes smells bad and causes students to avoid meals.,Hostel,2025-04-09
458,Uneven surfaces on the basketball court have led to many student injuries.,Sports,2025-04-08
459,Heating in the library is inconsistent leading to student discomfort during exams.,Maintenance,2025-04-07
460,Professors delay grading making it hard to plan for remedial classes.,Faculty,2025-04-06
461,Lack of proper cleaning in hostel bathrooms results in unhygienic conditions.,Hostel,2025-04-05
462,Frequent cancellation of sports training sessions without notice frustrates students.,Sports,2025-04-04
463,Electrical wiring issues cause power loss during important lectures.,Maintenance,2025-04-03
464,Faculty often fail to provide feedback on assignments in a timely manner.,Faculty,2025-04-02
465,Mess staff are often inattentive leading to long waiting times during peak hours.,Hostel,2025-04-01
466,Sports equipment is old and frequently breaking down during practice.,Sports,2025-03-31
467,Water supply interruptions in hostel cause major inconveniences during exams.,Maintenance,2025-03-30
468,Faculty sometimes cancel revision sessions days before exams without prior notice.,Faculty,2025-03-29
469,Hostel common areas are often noisy late into the night, disturbing sleep.,Hostel,2025-03-28
470,Several sports courts have broken fencing causing safety hazards.,Sports,2025-03-27
471,Air conditioners in study rooms malfunction regularly disrupting focus.,Maintenance,2025-03-26
472,Faculty do not always clarify grading criteria leading to uncertainty.,Faculty,2025-03-25
473,Mess food quality dips drastically during exam weeks causing dissatisfaction.,Hostel,2025-03-24
474,Sports practice timings clash with other university events, causing attendance issues.,Sports,2025-03-23
475,Faulty heaters in hostels make it difficult to concentrate during cold nights.,Maintenance,2025-03-22
476,Faculty feedback on essays is inconsistent across different instructors.,Faculty,2025-03-21
477,Mess waste is not cleared regularly leading to pest issues near dining halls.,Hostel,2025-03-20
478,Lack of qualified coaches affects the quality of sports training.,Sports,2025-03-19
479,Several lockers in hostel common areas have broken locks posing security risks.,Maintenance,2025-03-18
480,Faculty sometimes rearrange class schedules at short notice causing confusion.,Faculty,2025-03-17
481,Hostel Wi-Fi often disconnects causing interruptions to study and research.,Hostel,2025-03-16
482,Basketball nets are often tattered and not replaced promptly.,Sports,2025-03-15
483,Lighting in the computer lab is dim making long study sessions tiring.,Maintenance,2025-03-14
484,Faculty often do not conduct promised extra tutorials before exams.,Faculty,2025-03-13
485,Mess serving times sometimes do not align with lecture schedules.,Hostel,2025-03-12
486,Several sports fields lack proper drainage leading to cancellations during rains.,Sports,2025-03-11
487,Broken windows in hostel rooms let in cold wind and noise disrupting sleep.,Maintenance,2025-03-10
488,Faculty availability for consultation fluctuates across semesters.,Faculty,2025-03-09
489,Student common areas in hostels lack proper ventilation.,Hostel,2025-03-08
490,Old sports equipment leads to frequent injuries during practice sessions.,Sports,2025-03-07
491,Water leaks in academic buildings lead to occasional class disruptions.,Maintenance,2025-03-06
492,Timely and clear faculty communication is often lacking for assessments.,Faculty,2025-03-05
493,Hostel laundry machines break down often causing long waiting times.,Hostel,2025-03-04
494,The track and field area requires urgent maintenance to be safe for use.,Sports,2025-03-03
495,Heating system malfunctions in hostels make winters extremely uncomfortable.,Maintenance,2025-03-02
496,Faculty sometimes provide inconsistent information across lecture groups.,Faculty,2025-03-01
497,Dining areas in hostels are often overcrowded and noisy.,Hostel,2025-02-28
498,Some sports facilities are closed unexpectedly without informing students.,Sports,2025-02-27
499,Power outages in the hostel cause disruptions during evening study hours.,Maintenance,2025-02-26
500,Faculty occasionally reschedule exams which affect student preparation.,Faculty,2025-02-25
