"id","complaint_text","category","timestamp"
"364","Faculty curriculum revision processes are slow and resist necessary updates.","Faculty","2025-05-25"
"365","Hostel pest control treatments are infrequent allowing infestations to persist.","Hostel","2025-05-24"
"366","Ultimate frisbee fields lack proper boundaries marked for tournament play.","Sports","2025-05-23"
"367","Dormitory washing machines leak water creating slip hazards in laundry rooms.","Maintenance","2025-05-22"
"368","Faculty technology support for remote teaching tools is inadequate and slow.","Faculty","2025-05-21"
"369","Hostel community advisors are undertrained in conflict resolution techniques.","Hostel","2025-05-20"
"370","Skateboard ramps have rough surfaces that damage equipment and cause falls.","Sports","2025-05-19"
"371","Campus snow removal is slow making walkways hazardous during winter weather.","Maintenance","2025-05-18"
"372","Faculty workspaces are overcrowded and lack privacy for student consultations.","Faculty","2025-05-17"
"373","Hostel move-out procedures require excessive cleaning deposits and inspections.","Hostel","2025-05-16"
"374","Cycling paths have potholes and debris making biking dangerous.","Sports","2025-05-15"
"375","Library study carrels have broken electrical outlets preventing laptop use.","Maintenance","2025-05-14"
"376","Faculty summer teaching schedules are released too late for proper planning.","Faculty","2025-05-13"
"377","Hostel room keys are frequently lost requiring expensive lock replacements.","Hostel","2025-05-12"
"378","Swimming pool chemical balance is inconsistent causing skin and eye irritation.","Sports","2025-05-11"
"379","Campus landscaping uses excessive water during drought conditions.","Maintenance","2025-05-10"
"380","Faculty sabbatical coverage arrangements are inadequately planned and communicated.","Faculty","2025-05-09"
"381","Hostel heating systems are not zoned properly causing temperature imbalances.","Hostel","2025-05-08"
"382","Cheerleading practice space has poor acoustics making music coordination difficult.","Sports","2025-05-07"
"383","Parking meters malfunction frequently and do not provide proper receipts.","Maintenance","2025-05-06"
"384","Faculty office assignments change frequently disrupting established student relationships.","Faculty","2025-05-05"
"385","Hostel emergency lighting systems are not tested regularly as required by code.","Hostel","2025-05-04"
"386","Bowling alley lane conditions are inconsistent affecting game scoring accuracy.","Sports","2025-05-03"
"387","Campus construction dust affects air quality in nearby academic buildings.","Maintenance","2025-05-02"
"388","Faculty union negotiations create uncertainty about course offerings and schedules.","Faculty","2025-05-01"
"389","Hostel study spaces have insufficient electrical outlets for modern device needs.","Hostel","2025-04-30"
"390","Paintball equipment is poorly maintained and masks fog up during games.","Sports","2025-04-29"
"391","Student parking permits cost more than comparable off-campus alternatives.","Maintenance","2025-04-28"
"392","Faculty research space allocation is unfair and based on outdated priorities.","Faculty","2025-04-27"
"393","Hostel room furniture assembly instructions are missing causing setup difficulties.","Hostel","2025-04-26"
"394","Disc golf course has missing tee markers making navigation confusing.","Sports","2025-04-25"
"395","Campus recycling program lacks clear guidelines causing contamination problems.","Maintenance","2025-04-24"
"396","Faculty hiring committees lack diversity training affecting recruitment outcomes.","Faculty","2025-04-23"
"397","Hostel policy manuals are outdated and contain contradictory information.","Hostel","2025-04-22"
"398","Intramural sports scheduling conflicts with academic exam periods.","Sports","2025-04-21"
"399","Classroom acoustics are poor making it difficult to hear lectures from back rows.","Maintenance","2025-04-20"
"400","Faculty development workshops are scheduled during peak teaching times.","Faculty","2025-04-19"
"401","Hostel holiday break procedures are unclear causing confusion about storage.","Hostel","2025-04-18"
"402","Water polo goals are not regulation height affecting competitive play quality.","Sports","2025-04-17"
"403","Campus tour routes include areas under construction creating safety hazards.","Maintenance","2025-04-16"
"404","Faculty peer review processes for promotion lack standardized evaluation criteria.","Faculty","2025-04-15"
"405","Hostel guest bathroom facilities are inadequate for visitor volume during events.","Hostel","2025-04-14"
"406","Beach volleyball sand courts need fresh sand and proper drainage systems.","Sports","2025-04-13"
"407","Lecture hall temperature controls are locked preventing adjustment during classes.","Maintenance","2025-04-12"
"408","Faculty conference travel funding is insufficient to maintain professional development.","Faculty","2025-04-11"
"409","Hostel internet filtering blocks legitimate academic research websites.","Hostel","2025-04-10"
"410","Outdoor basketball courts lack windscreens making play difficult on windy days.","Sports","2025-04-09"
"411","Campus sidewalk cracks allow weeds to grow creating uneven walking surfaces.","Maintenance","2025-04-08"
"412","Faculty teaching excellence recognition programs are underfunded and infrequent.","Faculty","2025-04-07"
"413","Hostel package delivery system loses items and lacks tracking capabilities.","Hostel","2025-04-06"
"414","Ice hockey rink boards have gaps allowing pucks to escape playing area.","Sports","2025-04-05"
"415","Student center roof ventilation is inadequate causing poor air circulation.","Maintenance","2025-04-04"
"416","Faculty retirement planning workshops are not offered regularly enough.","Faculty","2025-04-03"
"417","Hostel community kitchen appliances are frequently broken and not replaced promptly.","Hostel","2025-04-02"
"418","Sailing equipment rigging is outdated and creates safety concerns on water.","Sports","2025-04-01"
"419","Campus emergency evacuation routes are not clearly marked in all buildings.","Maintenance","2025-03-31"
"420","Faculty course evaluation forms do not capture meaningful feedback for improvement.","Faculty","2025-03-30"
"421","Hostel noise insulation between rooms is inadequate allowing sound transmission.","Hostel","2025-03-29"
"422","Equestrian facility jumps are unstable and need professional safety inspection.","Sports","2025-03-28"
"423","Library HVAC system creates drafts that blow papers off desks.","Maintenance","2025-03-27"
"424","Faculty salary scales are not transparent creating equity concerns across departments.","Faculty","2025-03-26"
"425","Hostel emergency contact information is not updated regularly in residence systems.","Hostel","2025-03-25"
"426","Handball courts have uneven surfaces that affect ball bounce during games.","Sports","2025-03-24"
"427","Campus pedestrian crossings lack proper signals creating traffic safety issues.","Maintenance","2025-03-23"
"428","Faculty mentoring of junior colleagues is inconsistent across academic departments.","Faculty","2025-03-22"
"429","Hostel room inspection policies are applied inconsistently between resident advisors.","Hostel","2025-03-21"
"430","Racquetball court walls have dead spots that affect gameplay quality.","Sports","2025-03-20"
"431","Computer lab keyboards are worn with missing letters making typing difficult.","Maintenance","2025-03-19"
"432","Faculty workload documentation systems are cumbersome and time-consuming to use.","Faculty","2025-03-18"
"433","Hostel fire drill procedures are not practiced frequently enough for safety.","Hostel","2025-03-17"
"434","Outdoor tennis court surfaces crack during temperature changes affecting play.","Sports","2025-03-16"
"435","Campus WiFi password changes are not communicated effectively to users.","Maintenance","2025-03-15"
"436","Faculty office space allocation does not consider collaboration needs between colleagues.","Faculty","2025-03-14"
"437","Hostel room security deposits are held too long after move-out completion.","Hostel","2025-03-13"
"438","Weight lifting platforms have uneven surfaces creating instability during exercises.","Sports","2025-03-12"
"439","Classroom multimedia equipment training is not provided to faculty regularly.","Maintenance","2025-03-11"
"440","Faculty sabbatical reporting requirements are excessive and poorly defined.","Faculty","2025-03-10"
"441","Hostel study room booking system allows excessive advance reservations blocking access.","Hostel","2025-03-09"
"442","Sports facility lighting schedules do not accommodate early morning training sessions.","Sports","2025-03-08"
"443","Campus dining hall tables are sticky and not properly cleaned between meal periods.","Maintenance","2025-03-07"
"444","Faculty committee service expectations are not distributed equitably across ranks.","Faculty","2025-03-06"
"445","Hostel guest parking restrictions are too strict for family visit accommodations.","Hostel","2025-03-05"
"446","Jogging trail distance markers are inaccurate making training planning difficult.","Sports","2025-03-04"
"447","Student health center air conditioning creates uncomfortable temperature fluctuations.","Maintenance","2025-03-03"
"448","Faculty research collaboration funding lacks support for interdisciplinary projects.","Faculty","2025-03-02"
"449","Hostel community building programs lack funding and administrative support.","Hostel","2025-03-01"
"450","Sports broadcasting equipment for games is outdated and frequently malfunctions.","Sports","2025-02-28"
"451","Campus courtyard benches are positioned in areas without adequate shade.","Maintenance","2025-02-27"
"452","Faculty promotion timeline expectations are unrealistic given current resource constraints.","Faculty","2025-02-26"
"453","Hostel maintenance staff access rooms without proper notice to residents.","Hostel","2025-02-25"
"454","Outdoor fitness trail exercise stations have broken equipment needing replacement.","Sports","2025-02-24"
"455","Laboratory safety shower systems are not tested regularly as required by regulations.","Maintenance","2025-02-23"
"456","Faculty retreat planning does not include input from diverse departmental representatives.","Faculty","2025-02-22"
"457","Hostel guest registration requires excessive personal information creating privacy concerns.","Hostel","2025-02-21"
"458","Flag football field markings fade quickly and need more durable paint.","Sports","2025-02-20"
"459","Campus information kiosks display outdated event information confusing visitors.","Maintenance","2025-02-19"
"460","Faculty conference room booking system double-schedules meetings causing conflicts.","Faculty","2025-02-18"
"461","Hostel laundry room security cameras are not functioning creating safety concerns.","Hostel","2025-02-17"
"462","Adventure sports equipment rental policies are unclear and inconsistently enforced.","Sports","2025-02-16"
"463","Student parking garage ventilation systems do not adequately remove vehicle exhaust.","Maintenance","2025-02-15"
"464","Faculty professional leave policies are complex and poorly explained to applicants.","Faculty","2025-02-14"
"465","Hostel birthday party noise policies are not clearly communicated to residents.","Hostel","2025-02-13"
"466","Kayak storage racks are overcrowded making equipment access difficult and unsafe.","Sports","2025-02-12"
"467","Campus lighting sensors are oversensitive causing frequent unnecessary activation.","Maintenance","2025-02-11"
"468","Faculty teaching award nomination processes favor certain departments unfairly.","Faculty","2025-02-10"
"469","Hostel peer mediation services are underutilized due to lack of student awareness.","Hostel","2025-02-09"
"470","Outdoor adventure course safety equipment inspections are overdue and inadequate.","Sports","2025-02-08"
"471","Classroom projector screens have wrinkles and tears affecting presentation quality.","Maintenance","2025-02-07"
"472","Faculty research ethics training requirements are not clearly communicated campus-wide.","Faculty","2025-02-06"
"473","Hostel cultural programming lacks representation from diverse student populations.","Hostel","2025-02-05"
"474","Sports equipment checkout hours conflict with practice schedules creating access problems.","Sports","2025-02-04"
"475","Campus loading dock scheduling is chaotic causing delivery delays and safety issues.","Maintenance","2025-02-03"
"476","Faculty emeritus office space policies are unclear creating uncertainty after retirement.","Faculty","2025-02-02"
"477","Hostel room change procedures are complicated and heavily penalized financially.","Hostel","2025-02-01"
"478","Outdoor recreation equipment maintenance schedules are not followed consistently.","Sports","2025-01-31"
"479","Student center meeting room acoustics allow sound to carry between adjacent spaces.","Maintenance","2025-01-30"
"480","Faculty development sabbatical applications require excessive documentation and justification.","Faculty","2025-01-29"
"481","Hostel conflict resolution training for resident advisors is insufficient and outdated.","Hostel","2025-01-28"
"482","Sports facility user agreements contain contradictory liability and safety clauses.","Sports","2025-01-27"
"483","Campus tour guide training does not include current construction and safety updates.","Maintenance","2025-01-26"
"484","Faculty course scheduling preferences are not considered fairly in departmental planning.","Faculty","2025-01-25"
"485","Hostel emergency preparedness supplies are not inventoried or updated regularly.","Hostel","2025-01-24"
"486","Intramural referee training is inadequate leading to inconsistent game officiating.","Sports","2025-01-23"
"487","Laboratory equipment calibration schedules are not maintained properly affecting research.","Maintenance","2025-01-22"
"488","Faculty interdisciplinary collaboration is hindered by incompatible tenure track requirements.","Faculty","2025-01-21"
"489","Hostel social media policies restrict legitimate educational and communication uses.","Hostel","2025-01-20"
"490","Sports medicine injury reporting procedures are cumbersome and discourage proper documentation.","Sports","2025-01-19"
"491","Campus sustainability initiatives lack student input and transparent progress reporting.","Maintenance","2025-01-18"
"492","Faculty workload credits for community service are not recognized equitably across disciplines.","Faculty","2025-01-17"
"493","Hostel room maintenance request priority system is unclear causing delayed essential repairs.","Hostel","2025-01-16"
"494","Sports team uniform ordering processes are slow and sizes are frequently unavailable.","Sports","2025-01-15"
"495","Classroom ergonomic furniture does not accommodate students with physical disabilities.","Maintenance","2025-01-14"
"496","Faculty diversity and inclusion training is mandatory but poorly designed and ineffective.","Faculty","2025-01-13"
"497","Hostel residential education programming lacks relevant topics for modern student concerns.","Hostel","2025-01-12"
"498","Athletic training room equipment is shared unsanitarily between different sports teams.","Sports","2025-01-11"
"499","Campus environmental controls create uncomfortable humidity levels in multiple buildings.","Maintenance","2025-01-10"
"500","Faculty retirement benefit information sessions are scheduled infrequently and poorly advertised.","Faculty","2025-01-09"
